Log,Variant Threshold,Unfolding Threshold,Refined Log Precision,Refined Log Fitness,Runtime
bpi_2013_challenge,1,1,0.796747212,1,10.95846844
bpi_2013_challenge,1,0.75,0.937902753,0.89250646,10.74252272
bpi_2013_challenge,1,0.5,0.937902753,0.89250646,10.6547811
bpi_2013_challenge,1,0.25,0.937902753,0.89250646,9.862287998
bpi_2013_challenge,1,0,0.79237988,1,9.23964262
bpi_2013_challenge,0.75,1,0.79237988,1,10.1533761
bpi_2013_challenge,0.75,0.75,0.805054291,0.997585783,11.00026679
bpi_2013_challenge,0.75,0.5,0.897153791,0.952114673,10.03322339
bpi_2013_challenge,0.75,0.25,0.897153791,0.937168905,11.58556294
bpi_2013_challenge,0.75,0,0.79237988,1,9.173725843
bpi_2013_challenge,0.5,1,0.828970081,0.937215171,6.806153774
bpi_2013_challenge,0.5,0.75,0.79237988,1,7.176339865
bpi_2013_challenge,0.5,0.5,0.804392296,0.997800234,7.250260115
bpi_2013_challenge,0.5,0.25,0.79237988,1,9.641281605
bpi_2013_challenge,0.5,0,0.792572566,0.99994827,7.958211899
bpi_2013_challenge,0.25,1,0.88123154,0.914704163,8.755878687
bpi_2013_challenge,0.25,0.75,0.921829763,0.886286249,7.214981556
bpi_2013_challenge,0.25,0.5,0.804742411,0.997707366,7.820054531
bpi_2013_challenge,0.25,0.25,0.955426569,,14154.48286
bpi_2013_challenge,0.25,0,0.921623969,0.933451395,8.452034712
bpi_2013_challenge,0,1,0.888423797,0.880754199,11.21103859
bpi_2013_challenge,0,0.75,0.915134371,0.881021088,11.12766433
bpi_2013_challenge,0,0.5,0.896287449,0.864936222,11.05199957
bpi_2013_challenge,0,0.25,0.888563259,0.920957168,9.714038849
bpi_2013_challenge,0,0,0.963354317,0.859010662,9.075958729
