name,unrefined_precision,unrefined_fitness,window_size,distance_metric,threshold,number_of_clusters_found,precision,fitness,runtime
bpi_challenge_2012,0.311347246,0.982388582,1,DistanceVariant.EDIT_DISTANCE,0,2,0.58009503,0.986636941,35.55980515
bpi_challenge_2012,0.311347246,0.982388582,1,DistanceVariant.EDIT_DISTANCE,0.25,2,0.58009503,0.986636941,35.23792362
bpi_challenge_2012,0.311347246,0.982388582,1,DistanceVariant.EDIT_DISTANCE,0.5,2,0.58009503,0.986636941,35.62304664
bpi_challenge_2012,0.311347246,0.982388582,1,DistanceVariant.EDIT_DISTANCE,0.75,7,0.237289931,0.945640224,33.57823229
bpi_challenge_2012,0.311347246,0.982388582,1,DistanceVariant.EDIT_DISTANCE,1,7,0.265560446,0.99099801,35.29053998
bpi_challenge_2012,0.311347246,0.982388582,1,DistanceVariant.SET_DISTANCE,0,2,0.467093038,0.992331092,36.81527185
bpi_challenge_2012,0.311347246,0.982388582,1,DistanceVariant.SET_DISTANCE,0.25,2,0.467093038,0.992331092,38.86751485
bpi_challenge_2012,0.311347246,0.982388582,1,DistanceVariant.SET_DISTANCE,0.5,2,0.58009503,0.986636941,36.81552172
bpi_challenge_2012,0.311347246,0.982388582,1,DistanceVariant.SET_DISTANCE,0.75,7,0.235976525,0.966892224,38.03444314
bpi_challenge_2012,0.311347246,0.982388582,1,DistanceVariant.SET_DISTANCE,1,7,0.235976525,0.94436842,31.94695783
bpi_challenge_2012,0.311347246,0.982388582,1,DistanceVariant.MULTISET_DISTANCE,0,2,0.58009503,0.986636941,40.15181255
bpi_challenge_2012,0.311347246,0.982388582,1,DistanceVariant.MULTISET_DISTANCE,0.25,2,0.467093038,0.992331092,42.76125336
bpi_challenge_2012,0.311347246,0.982388582,1,DistanceVariant.MULTISET_DISTANCE,0.5,2,0.58009503,0.986636941,40.2864306
bpi_challenge_2012,0.311347246,0.982388582,1,DistanceVariant.MULTISET_DISTANCE,0.75,7,0.235976525,0.94436842,32.07029223
bpi_challenge_2012,0.311347246,0.982388582,1,DistanceVariant.MULTISET_DISTANCE,1,7,0.235976525,0.94436842,31.34491897
bpi_challenge_2012,0.311347246,0.982388582,3,DistanceVariant.EDIT_DISTANCE,0,3,0.304446983,0.996202691,40.37642479
bpi_challenge_2012,0.311347246,0.982388582,3,DistanceVariant.EDIT_DISTANCE,0.25,4,0.296874273,0.985662208,39.74167776
bpi_challenge_2012,0.311347246,0.982388582,3,DistanceVariant.EDIT_DISTANCE,0.5,4,0.224270396,0.993581755,37.68248463
bpi_challenge_2012,0.311347246,0.982388582,3,DistanceVariant.EDIT_DISTANCE,0.75,11,0.198500957,0.981832064,36.14280963
bpi_challenge_2012,0.311347246,0.982388582,3,DistanceVariant.EDIT_DISTANCE,1,62,0.413141904,0.963628456,37.50236869
bpi_challenge_2012,0.311347246,0.982388582,3,DistanceVariant.SET_DISTANCE,0,3,0.327734979,0.99614927,41.21118355
bpi_challenge_2012,0.311347246,0.982388582,3,DistanceVariant.SET_DISTANCE,0.25,3,0.350054331,0.989521796,36.49672008
bpi_challenge_2012,0.311347246,0.982388582,3,DistanceVariant.SET_DISTANCE,0.5,4,0.297116287,0.996418733,37.421772
bpi_challenge_2012,0.311347246,0.982388582,3,DistanceVariant.SET_DISTANCE,0.75,6,0.269883176,0.986813647,33.54822445
bpi_challenge_2012,0.311347246,0.982388582,3,DistanceVariant.SET_DISTANCE,1,58,0.354735838,0.95205877,32.36925459
bpi_challenge_2012,0.311347246,0.982388582,3,DistanceVariant.MULTISET_DISTANCE,0,4,0.30349967,0.985974067,40.62173343
bpi_challenge_2012,0.311347246,0.982388582,3,DistanceVariant.MULTISET_DISTANCE,0.25,4,0.267315724,0.922390038,36.65875602
bpi_challenge_2012,0.311347246,0.982388582,3,DistanceVariant.MULTISET_DISTANCE,0.5,4,0.224270396,0.993581755,37.5704329
bpi_challenge_2012,0.311347246,0.982388582,3,DistanceVariant.MULTISET_DISTANCE,0.75,6,0.295293301,0.97599173,35.66837454
bpi_challenge_2012,0.311347246,0.982388582,3,DistanceVariant.MULTISET_DISTANCE,1,61,0.364940613,0.97137156,30.50884199
bpi_challenge_2012,0.311347246,0.982388582,5,DistanceVariant.EDIT_DISTANCE,0,4,0.296874273,0.985662208,40.12630415
bpi_challenge_2012,0.311347246,0.982388582,5,DistanceVariant.EDIT_DISTANCE,0.25,4,0.224270396,0.993581755,38.28533006
bpi_challenge_2012,0.311347246,0.982388582,5,DistanceVariant.EDIT_DISTANCE,0.5,4,0.224270396,0.993581755,35.66667008
bpi_challenge_2012,0.311347246,0.982388582,5,DistanceVariant.EDIT_DISTANCE,0.75,10,0.326091758,0.946989468,34.38293386
bpi_challenge_2012,0.311347246,0.982388582,5,DistanceVariant.EDIT_DISTANCE,1,185,0.399070484,0.968054709,31.32155037
bpi_challenge_2012,0.311347246,0.982388582,5,DistanceVariant.SET_DISTANCE,0,3,0.220319983,0.994431508,39.19387603
bpi_challenge_2012,0.311347246,0.982388582,5,DistanceVariant.SET_DISTANCE,0.25,3,0.277340414,0.937696267,39.42329121
bpi_challenge_2012,0.311347246,0.982388582,5,DistanceVariant.SET_DISTANCE,0.5,3,0.211412365,0.992897172,39.78056717
bpi_challenge_2012,0.311347246,0.982388582,5,DistanceVariant.SET_DISTANCE,0.75,4,0.297116287,0.996812559,34.31218648
bpi_challenge_2012,0.311347246,0.982388582,5,DistanceVariant.SET_DISTANCE,1,106,0.324149384,0.97309574,32.74580431
bpi_challenge_2012,0.311347246,0.982388582,5,DistanceVariant.MULTISET_DISTANCE,0,4,0.20558983,0.991054467,38.07123828
bpi_challenge_2012,0.311347246,0.982388582,5,DistanceVariant.MULTISET_DISTANCE,0.25,4,0.224270396,0.993581755,37.41548824
bpi_challenge_2012,0.311347246,0.982388582,5,DistanceVariant.MULTISET_DISTANCE,0.5,4,0.296874273,0.985662208,37.69711852
bpi_challenge_2012,0.311347246,0.982388582,5,DistanceVariant.MULTISET_DISTANCE,0.75,6,0.222116247,0.942073271,31.41444993
bpi_challenge_2012,0.311347246,0.982388582,5,DistanceVariant.MULTISET_DISTANCE,1,157,0.300239182,0.9793573,31.95066261
