Name,unrefined_precision,unrefined_fitness,use_combined_context,use_frequency,window_size,distance_metric,threshold,number_of_clusters_found,Precision,Runtime
bpi_challenge_2013,0.796747212,1,False,True,1,DistanceVariant.EDIT_DISTANCE,0,3,0.896809273,62.16740584
bpi_challenge_2013,0.796747212,1,False,True,1,DistanceVariant.EDIT_DISTANCE,0.25,3,0.896809273,58.74736619
bpi_challenge_2013,0.796747212,1,False,True,1,DistanceVariant.EDIT_DISTANCE,0.5,3,0.896809273,58.40730834
bpi_challenge_2013,0.796747212,1,False,True,1,DistanceVariant.EDIT_DISTANCE,0.75,5,0.896809273,50.83771896
bpi_challenge_2013,0.796747212,1,False,True,1,DistanceVariant.EDIT_DISTANCE,1,5,0.896809273,46.85024524
bpi_challenge_2013,0.796747212,1,False,True,1,DistanceVariant.SET_DISTANCE,0,3,0.896809273,54.01841187
bpi_challenge_2013,0.796747212,1,False,True,1,DistanceVariant.SET_DISTANCE,0.25,3,0.79237988,57.73745227
bpi_challenge_2013,0.796747212,1,False,True,1,DistanceVariant.SET_DISTANCE,0.5,3,0.896809273,68.23962379
bpi_challenge_2013,0.796747212,1,False,True,1,DistanceVariant.SET_DISTANCE,0.75,5,0.896809273,62.51231289
bpi_challenge_2013,0.796747212,1,False,True,1,DistanceVariant.SET_DISTANCE,1,5,0.896809273,63.80093145
bpi_challenge_2013,0.796747212,1,False,True,1,DistanceVariant.MULTISET_DISTANCE,0,3,0.896809273,77.23931217
bpi_challenge_2013,0.796747212,1,False,True,1,DistanceVariant.MULTISET_DISTANCE,0.25,3,0.79237988,69.84289742
bpi_challenge_2013,0.796747212,1,False,True,1,DistanceVariant.MULTISET_DISTANCE,0.5,3,0.896809273,72.31356502
bpi_challenge_2013,0.796747212,1,False,True,1,DistanceVariant.MULTISET_DISTANCE,0.75,5,0.896809273,53.9555819
bpi_challenge_2013,0.796747212,1,False,True,1,DistanceVariant.MULTISET_DISTANCE,1,5,0.896809273,53.52591038
bpi_challenge_2013,0.796747212,1,False,True,3,DistanceVariant.EDIT_DISTANCE,0,3,0.79237988,59.90753245
bpi_challenge_2013,0.796747212,1,False,True,3,DistanceVariant.EDIT_DISTANCE,0.25,4,0.79237988,55.50746536
bpi_challenge_2013,0.796747212,1,False,True,3,DistanceVariant.EDIT_DISTANCE,0.5,3,0.958104814,46.17827296
bpi_challenge_2013,0.796747212,1,False,True,3,DistanceVariant.EDIT_DISTANCE,0.75,4,0.79237988,25.25451446
bpi_challenge_2013,0.796747212,1,False,True,3,DistanceVariant.EDIT_DISTANCE,1,150,0.900536177,24.96870255
bpi_challenge_2013,0.796747212,1,False,True,3,DistanceVariant.SET_DISTANCE,0,4,0.92206566,22.23858643
