Name,unrefined_precision,unrefined_fitness,window_size,distance_metric,threshold,number_of_clusters_found,Precision,Fitness,Runtime
bpi_challenge_2017,0.36645941,0.988926833,1,DistanceVariant.EDIT_DISTANCE,0,2,0.427115978,0.997163719,634.9111729
bpi_challenge_2017,0.36645941,0.988926833,1,DistanceVariant.EDIT_DISTANCE,0.25,2,0.427115978,0.997166018,646.0990469
bpi_challenge_2017,0.36645941,0.988926833,1,DistanceVariant.EDIT_DISTANCE,0.5,2,0.427115978,0.997163719,610.458384
bpi_challenge_2017,0.36645941,0.988926833,1,DistanceVariant.EDIT_DISTANCE,0.75,8,0.299134965,0.997326669,572.1489367
bpi_challenge_2017,0.36645941,0.988926833,1,DistanceVariant.EDIT_DISTANCE,1,8,0.303346362,0.94128063,527.9213581
bpi_challenge_2017,0.36645941,0.988926833,1,DistanceVariant.SET_DISTANCE,0,2,0.427115978,0.997166018,655.4957609
bpi_challenge_2017,0.36645941,0.988926833,1,DistanceVariant.SET_DISTANCE,0.25,2,0.427115978,0.997166018,601.058059
bpi_challenge_2017,0.36645941,0.988926833,1,DistanceVariant.SET_DISTANCE,0.5,2,0.427115978,0.997163719,659.384284
bpi_challenge_2017,0.36645941,0.988926833,1,DistanceVariant.SET_DISTANCE,0.75,8,0.315956872,0.955413879,495.0605924
bpi_challenge_2017,0.36645941,0.988926833,1,DistanceVariant.SET_DISTANCE,1,8,0.299134965,0.997517881,487.6176732
bpi_challenge_2017,0.36645941,0.988926833,1,DistanceVariant.MULTISET_DISTANCE,0,2,0.427115978,0.997163719,618.3635552
bpi_challenge_2017,0.36645941,0.988926833,1,DistanceVariant.MULTISET_DISTANCE,0.25,2,0.427115978,0.997166018,608.0216804
bpi_challenge_2017,0.36645941,0.988926833,1,DistanceVariant.MULTISET_DISTANCE,0.5,2,0.427115978,0.997166018,531.7917328
bpi_challenge_2017,0.36645941,0.988926833,1,DistanceVariant.MULTISET_DISTANCE,0.75,8,0.299134965,0.997517881,402.3776743
