Name,unrefined_precision,unrefined_fitness,window_size,distance_metric,threshold,number_of_clusters_found,precision,fitness,runtime
road_traffic_fines,0.5644409,0.997869529,1,DistanceVariant.EDIT_DISTANCE,0,2,0.60083005,0.965791178,2.760011196
road_traffic_fines,0.5644409,0.997869529,1,DistanceVariant.EDIT_DISTANCE,0.25,2,0.600868281,0.996692633,2.14151907
road_traffic_fines,0.5644409,0.997869529,1,DistanceVariant.EDIT_DISTANCE,0.5,2,0.600868281,0.996682035,2.321312189
road_traffic_fines,0.5644409,0.997869529,1,DistanceVariant.EDIT_DISTANCE,0.75,10,0.654315851,0.997656909,2.013522387
road_traffic_fines,0.5644409,0.997869529,1,DistanceVariant.EDIT_DISTANCE,1,10,0.653820689,0.98708642,2.250961542
road_traffic_fines,0.5644409,0.997869529,1,DistanceVariant.SET_DISTANCE,0,2,0.60083005,0.965780064,2.553571701
road_traffic_fines,0.5644409,0.997869529,1,DistanceVariant.SET_DISTANCE,0.25,2,0.600868281,0.996682035,1.959875107
road_traffic_fines,0.5644409,0.997869529,1,DistanceVariant.SET_DISTANCE,0.5,2,0.600868281,0.996682035,2.10300231
road_traffic_fines,0.5644409,0.997869529,1,DistanceVariant.SET_DISTANCE,0.75,10,0.653820689,0.995833072,1.630198717
road_traffic_fines,0.5644409,0.997869529,1,DistanceVariant.SET_DISTANCE,1,10,0.649076369,0.994579375,1.924739838
road_traffic_fines,0.5644409,0.997869529,1,DistanceVariant.MULTISET_DISTANCE,0,2,0.600868281,0.996692633,1.894367218
road_traffic_fines,0.5644409,0.997869529,1,DistanceVariant.MULTISET_DISTANCE,0.25,2,0.600868281,0.996682035,1.76671505
road_traffic_fines,0.5644409,0.997869529,1,DistanceVariant.MULTISET_DISTANCE,0.5,2,0.600868281,0.996682035,1.850247145
road_traffic_fines,0.5644409,0.997869529,1,DistanceVariant.MULTISET_DISTANCE,0.75,10,0.649076369,0.994579375,1.622107506
road_traffic_fines,0.5644409,0.997869529,1,DistanceVariant.MULTISET_DISTANCE,1,10,0.654315851,0.997656886,1.876318932
road_traffic_fines,0.5644409,0.997869529,3,DistanceVariant.EDIT_DISTANCE,0,2,0.747352174,0.980493454,1.727348804
road_traffic_fines,0.5644409,0.997869529,3,DistanceVariant.EDIT_DISTANCE,0.25,2,0.64110036,0.984138532,2.397135258
road_traffic_fines,0.5644409,0.997869529,3,DistanceVariant.EDIT_DISTANCE,0.5,2,0.642125324,0.950523599,1.700449467
road_traffic_fines,0.5644409,0.997869529,3,DistanceVariant.EDIT_DISTANCE,0.75,15,0.828892718,0.953381814,1.986011982
road_traffic_fines,0.5644409,0.997869529,3,DistanceVariant.EDIT_DISTANCE,1,129,0.810046985,0.893800758,1.7191329
road_traffic_fines,0.5644409,0.997869529,3,DistanceVariant.SET_DISTANCE,0,2,0.747352174,0.980493454,1.93764019
road_traffic_fines,0.5644409,0.997869529,3,DistanceVariant.SET_DISTANCE,0.25,2,0.747411527,0.983653078,1.706748962
road_traffic_fines,0.5644409,0.997869529,3,DistanceVariant.SET_DISTANCE,0.5,2,0.642125324,0.950523599,2.015257835
road_traffic_fines,0.5644409,0.997869529,3,DistanceVariant.SET_DISTANCE,0.75,7,0.708154214,0.960676722,1.70813179
road_traffic_fines,0.5644409,0.997869529,3,DistanceVariant.SET_DISTANCE,1,78,0.783554394,0.998656731,1.799317837
road_traffic_fines,0.5644409,0.997869529,3,DistanceVariant.MULTISET_DISTANCE,0,2,0.745784788,0.996674874,2.03750062
road_traffic_fines,0.5644409,0.997869529,3,DistanceVariant.MULTISET_DISTANCE,0.25,2,0.747411527,0.983653078,1.971014977
road_traffic_fines,0.5644409,0.997869529,3,DistanceVariant.MULTISET_DISTANCE,0.5,2,0.642125324,0.950523599,1.662567616
road_traffic_fines,0.5644409,0.997869529,3,DistanceVariant.MULTISET_DISTANCE,0.75,7,0.708154214,0.960708666,1.652682304
road_traffic_fines,0.5644409,0.997869529,3,DistanceVariant.MULTISET_DISTANCE,1,90,0.774821916,0.999821383,1.686199427
road_traffic_fines,0.5644409,0.997869529,5,DistanceVariant.EDIT_DISTANCE,0,2,0.600067338,0.997957117,1.79958868
road_traffic_fines,0.5644409,0.997869529,5,DistanceVariant.EDIT_DISTANCE,0.25,2,0.600067338,0.997957117,1.93072629
road_traffic_fines,0.5644409,0.997869529,5,DistanceVariant.EDIT_DISTANCE,0.5,2,0.746629857,0.894494454,1.877525806
road_traffic_fines,0.5644409,0.997869529,5,DistanceVariant.EDIT_DISTANCE,0.75,6,0.64110036,0.985248925,1.676351786
road_traffic_fines,0.5644409,0.997869529,5,DistanceVariant.EDIT_DISTANCE,1,217,0.802826571,0.892239545,2.023437262
road_traffic_fines,0.5644409,0.997869529,5,DistanceVariant.SET_DISTANCE,0,2,0.600067338,0.997947339,2.787390709
road_traffic_fines,0.5644409,0.997869529,5,DistanceVariant.SET_DISTANCE,0.25,2,0.600021124,0.970848483,1.813515663
road_traffic_fines,0.5644409,0.997869529,5,DistanceVariant.SET_DISTANCE,0.5,2,0.746629857,0.894494454,2.079805136
road_traffic_fines,0.5644409,0.997869529,5,DistanceVariant.SET_DISTANCE,0.75,4,0.60291011,0.976916629,1.932872057
road_traffic_fines,0.5644409,0.997869529,5,DistanceVariant.SET_DISTANCE,1,102,0.774854263,0.998087191,1.614164352
