Log,Variant Threshold,Unfolding Threshold,Refined Log Precision,Refined Log Fitness,Runtime
road_traffic_fines,1,1,0.696158488,1,4832.888888
road_traffic_fines,1,0.75,0.696158488,1,4902.734322
road_traffic_fines,1,0.5,0.696158488,1,5115.995489
road_traffic_fines,1,0.25,0.696158488,1,5119.605516
road_traffic_fines,1,0,0.659412113,0.782240479,4966.709655
road_traffic_fines,0.75,1,0.712922209,0.99111023,2428.176438
road_traffic_fines,0.75,0.75,0.712922209,0.99096726,2434.781778
road_traffic_fines,0.75,0.5,0.713849264,0.988356371,2412.473304
road_traffic_fines,0.75,0.25,0.712922209,0.991116432,2354.329965
road_traffic_fines,0.75,0,0.514749573,0.990329479,2375.228698
road_traffic_fines,0.5,1,0.542846703,0.916300072,2136.448803
road_traffic_fines,0.5,0.75,0.543727639,0.891017792,2151.762407
road_traffic_fines,0.5,0.5,0.543653365,0.994219534,2142.727574
road_traffic_fines,0.5,0.25,0.542828981,0.912842685,2157.547512
road_traffic_fines,0.5,0,0.543672934,0.993182392,2142.537697
road_traffic_fines,0.25,1,0.542379278,0.998746344,2151.546196
road_traffic_fines,0.25,0.75,0.54157808,0.917596549,2141.708749
road_traffic_fines,0.25,0.5,0.54157808,0.917596549,2142.008039
road_traffic_fines,0.25,0.25,0.54157808,0.916636567,2075.083739
road_traffic_fines,0.25,0,0.54157808,0.915292888,2152.647964
road_traffic_fines,0,1,0.545535347,0.915348924,2114.807004
road_traffic_fines,0,0.75,0.545535347,0.915348924,2105.006617
road_traffic_fines,0,0.5,0.545535347,0.915333034,2062.386109
road_traffic_fines,0,0.25,0.542262403,0.895687911,3005.653587
road_traffic_fines,0,0,0.542262403,0.894601473,2972.404065
